id,name,model,health,level,guard,attackBonus,walkSpeed,runSpeed,attackRange,chaseRange,attackCooldown,attackImpactDelay,attackDamageTextDelay,damageRoll,behavior,animIdle,animWalk,animRun,animAttack,animAttackIdle,animHit,animDie,animDead,weapon,weaponDropChance,weaponBone,deathPlaysHit,material,dungeonMinDepth,dungeonMaxDepth,dungeonWeight,dungeonAggressive,corpseGroundOffset,deathFadeSeconds,scale,boss,sharedAnims,hitDebuff,weaponOffset,size,race
orc_matron,Orc Matron,monsters/orc_female.glb,,13,20,,1.1,5.2,2.0,25.0,1800,450,450,,brave,Sword_Idle_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Sword_Idle_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,goblin_sword,0.2,RightHand,true,leather,13,19,2,true,,,1.15,,,bleed,,,orc
hobgoblin_captain,Hobgoblin Captain,monsters/hobgoblin.glb,,14,21,,1.8,5.5,2.2,26.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,iron_sword,0.2,RightHand,false,leather,14,20,2,true,-0.05,,1.2,,true,,0.12,,goblinoid
gnoll_packlord,Gnoll Pack Lord,monsters/gnoll.glb,,15,22,,1.9,6.5,2.3,28.0,1700,750,850,2d8,looter,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,leather,15,20,2,true,-0.05,,1.25,,true,bleed,,,beast
bugbear_stalker,Bugbear Stalker,monsters/bugbear.glb,,16,23,,2.2,6.2,2.4,28.0,1700,540,750,,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,morningstar,0.2,RightHand,false,leather,16,20,2,true,-0.05,,1.15,,true,,0.2,large,goblinoid
ogre_brute,Ogre Brute,monsters/ogre.glb,,17,24,,2.2,6.1,2.6,28.0,1900,540,750,2d10,brave,idle1,walk,run,slash1,combat_idle,,dying,dying,greatclub,0.1,RightHand,false,flesh,17,20,2,true,-0.05,,1.2,,true,,0.24,large,giant
deep_stalker,Deep Stalker,monsters/scp939.glb,,18,25,,1.3,8.0,3.0,25.0,4100,700,700,,brave,939_Idle,939_Walking,939_Running,939_Attack1,939_Idle,939_AddStagger1,939_Sleeping,939_Sleeping,,,,false,flesh,18,20,1,true,,1.0,1.3,,,,,,aberration
troll_elder,Troll Elder,monsters/troll.glb,,19,26,,2.9,8.0,2.8,28.0,1800,750,850,2d12,brave,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,flesh,19,20,1,true,-0.05,,1.25,,true,bleed,,large,giant
kobold_warren_king,Kobold Warren King,monsters/kobold.glb,130,11,18,,1.0,4.8,2.0,20.0,1900,450,450,,brave,Idle_Loop_Rig,Walk_Loop_Rig,Jog_Fwd_Loop_Rig,Sword_Attack_Rig,Idle_Loop_Rig,Hit_Chest_Rig,Death01_Rig,Death01_Rig,small_sword,1.0,RightHand,true,leather,,,,,-0.17,,1.5,true,,,,medium,goblinoid
gnoll_matriarch,Gnoll Matriarch,monsters/gnoll.glb,210,15,22,,2.1,7.3,2.3,28.0,1700,750,850,2d8,brave,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,leather,,,,,-0.05,,1.4,true,true,bleed,,,beast
troll_king,Troll King,monsters/troll.glb,320,20,27,,3.4,8.0,2.8,28.0,1800,750,850,3d8,brave,idle1,walk,run,claw1|claw2,combat_idle,,dying,dying,,,,false,flesh,,,,,-0.05,,1.5,true,true,bleed,,large,giant
